Berth,Length,Draft,Cranes Operating,Cost,Hourly CO2
0,190,14,3,2033.33,31.09
1,205,14,3,2158.33,31.18
2,180,14,2,1800.0,31.03
3,300,14,4,3100.0,31.72
4,210,14,3,2200.0,31.21
5,230,14,5,2666.67,31.32
6,215,14,4,2391.67,31.23
7,185,14,5,2291.67,31.06
8,225,14,5,2625.0,31.29
9,185,14,3,1991.67,31.06
10,235,14,2,2258.33,31.35
11,250,14,2,2383.33,31.44
12,195,14,4,2225.0,31.12
13,95,9,1,941.67,30.55
14,190,14,2,1883.33,31.09
15,205,14,4,2308.33,31.18
16,225,14,4,2475.0,31.29
17,305,14,2,2841.67,31.75
18,175,14,2,1758.33,31.0
19,170,14,2,1716.67,30.98
20,220,14,5,2583.33,31.26
21,210,14,5,2500.0,31.21
22,225,14,5,2625.0,31.29
23,190,14,3,2033.33,31.09
24,210,14,2,2050.0,31.21
