Ship,Berth,MooringTime,HandlingTime
17,0,29,12
38,0,78,21
58,0,111,18
74,0,130,17
92,0,158,3
95,0,163,38
12,1,20,38
53,1,99,21
93,1,158,33
8,2,14,52
33,2,67,21
55,2,100,19
68,2,124,2
80,2,137,9
94,2,161,12
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
32,4,67,11
44,4,89,14
62,4,117,51
49,5,94,50
9,6,16,26
26,6,47,28
60,6,116,35
11,7,17,36
50,7,94,16
61,7,116,20
84,7,141,15
25,8,45,33
56,8,103,22
5,9,6,8
13,9,22,9
20,9,36,7
24,9,44,10
46,9,92,22
79,9,137,13
90,9,157,5
96,9,164,29
35,10,68,45
63,10,117,38
23,11,44,38
42,11,84,28
71,11,126,12
6,12,8,17
19,12,32,8
27,12,49,9
31,12,65,12
48,12,94,13
73,12,130,25
57,13,108,3
0,14,1,9
14,14,24,25
40,14,81,16
69,14,125,5
78,14,135,6
85,14,143,14
89,14,157,13
21,15,39,9
30,15,64,11
39,15,78,5
51,15,98,10
86,15,146,14
29,16,61,40
88,16,151,20
7,17,12,183
4,18,5,9
10,18,17,19
34,18,68,22
52,18,98,3
59,18,116,11
82,18,138,4
87,18,149,36
1,19,2,3
18,19,31,19
28,19,51,18
41,19,83,4
47,19,94,17
67,19,123,21
91,19,157,21
37,20,76,22
66,20,122,35
15,21,25,33
77,21,135,26
70,22,126,38
3,23,3,18
22,23,43,5
36,23,73,14
45,23,92,6
54,23,99,6
65,23,121,10
76,23,133,2
83,23,139,25
98,23,165,6
16,24,27,42
43,24,88,18
99,24,166,39
