Ship,Berth,MooringTime,HandlingTime
5,0,6,8
14,0,24,25
32,0,67,11
71,0,126,12
93,0,158,33
20,1,36,7
53,1,99,21
67,1,123,21
90,1,157,5
95,1,163,38
0,2,1,9
10,2,17,19
23,2,44,38
40,2,82,16
58,2,111,18
78,2,135,6
89,2,157,13
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
21,4,39,9
36,4,73,14
47,4,94,17
96,4,164,29
60,5,116,35
15,6,25,33
29,6,61,40
13,7,22,9
26,7,47,28
50,7,94,16
86,7,146,14
62,8,117,51
19,9,32,8
22,9,43,5
28,9,51,18
44,9,89,14
56,9,103,22
69,9,125,5
76,9,133,2
85,9,143,14
98,9,165,6
35,10,68,45
83,10,139,25
8,11,14,52
9,12,16,26
24,12,44,10
31,12,65,12
42,12,84,28
88,12,151,20
52,13,98,5
57,13,108,3
12,14,20,38
33,14,67,21
46,14,92,22
63,14,117,38
6,15,8,17
27,15,49,9
39,15,78,5
51,15,98,10
61,15,116,20
84,15,141,15
37,16,76,22
49,16,98,50
7,17,12,183
1,18,2,3
11,18,17,36
34,18,68,22
48,18,94,13
59,18,116,11
79,18,137,13
91,18,157,21
4,19,5,9
16,19,27,42
38,19,78,21
55,19,100,19
68,19,124,2
82,19,138,4
87,19,149,36
17,20,29,12
66,20,122,35
25,21,45,33
73,21,130,25
70,22,126,38
77,22,164,26
3,23,3,18
30,23,64,11
41,23,83,4
45,23,92,6
54,23,99,6
65,23,121,10
74,23,131,17
92,23,158,3
94,23,161,12
18,24,31,19
43,24,88,18
80,24,137,9
99,24,166,39
