Ship,Berth,MooringTime,HandlingTime
13,0,22,9
19,0,32,8
22,0,43,5
30,0,64,11
44,0,89,14
65,0,121,10
90,0,157,5
96,0,164,29
21,1,39,9
38,1,78,21
74,1,130,17
91,1,157,21
4,2,5,9
18,2,31,19
40,2,81,16
52,2,98,3
58,2,111,18
80,2,137,9
95,2,163,38
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
17,4,29,12
31,4,65,12
51,4,98,10
62,4,117,51
70,5,126,38
15,6,25,33
99,6,166,39
11,7,17,36
39,7,78,5
56,7,103,22
88,7,151,20
49,8,94,50
5,9,6,8
26,9,47,28
48,9,94,13
76,9,133,2
85,9,143,14
93,9,158,33
16,10,27,42
42,10,84,28
63,10,117,38
55,11,100,19
87,11,149,36
9,12,16,26
34,12,68,22
53,12,99,21
73,12,130,25
57,13,108,3
14,14,24,25
35,14,68,45
59,14,116,11
83,14,139,25
6,15,8,17
27,15,49,9
37,15,76,22
54,15,99,6
61,15,116,20
84,15,141,15
36,16,73,14
60,16,116,35
92,16,158,3
7,17,12,183
0,18,1,9
8,18,14,52
33,18,67,21
47,18,94,17
68,18,124,2
78,18,135,6
94,18,161,12
1,19,2,3
10,19,17,19
23,19,44,38
46,19,92,22
71,19,126,12
82,19,138,4
29,20,61,40
77,20,135,26
98,20,165,6
25,21,45,33
86,21,146,14
28,22,51,18
50,22,94,16
66,22,122,35
3,23,3,18
20,23,36,7
24,23,44,10
32,23,67,11
45,23,92,6
67,23,123,21
89,23,157,13
12,24,20,38
41,24,83,4
43,24,88,18
69,24,125,5
79,24,137,13
