Ship,Length,Draft,Arrival Time,Cargo Quantity,Crane Requested,Requested Departure Time,Time Penalty,Energy Penalty,Cost Penalty,Load Penalty,Waiting FCR,Handling FCR
0,166,6,7,493,3,34.0,89.0,116826.21,143500.14,423948.1,2202.07,660.62
1,302,13,8,4712,5,114.0,519.0,3179413.71,1342751.31,423948.1,13507.73,4052.32
2,148,7,17,213,2,35.0,56.0,33318.7,61500.06,423948.1,795.2,238.56
3,161,5,22,1082,2,73.0,162.0,73021.42,310916.97,423948.1,721.33,216.4
4,99,3,26,69,1,35.0,35.0,13799.78,20500.02,423948.1,358.8,107.64
5,136,4,35,283,2,51.0,60.0,38288.74,82000.08,423948.1,943.33,283.0
6,280,13,38,2025,4,88.0,239.0,475352.21,577417.23,423948.1,4185.0,1255.5
7,32,2,41,99,1,56.0,44.0,17411.51,30750.03,423948.1,396.0,118.8
8,173,4,41,362,3,58.0,68.0,65035.13,105916.77,423948.1,1592.8,477.84
9,89,2,45,36,2,53.0,31.0,8181.65,10250.01,423948.1,103.2,30.96
10,244,13,60,2014,3,125.0,253.0,786541.61,574000.56,423948.1,6176.27,1852.88
11,200,6,62,1033,5,114.0,159.0,154798.81,297250.29,423948.1,1652.8,495.84
12,142,3,77,141,2,86.0,41.0,14408.16,41000.04,423948.1,347.8,104.34
13,171,4,77,1153,3,129.0,169.0,485712.45,331416.99,423948.1,5226.93,1568.08
14,140,6,83,338,2,107.0,73.0,54292.49,99083.43,423948.1,1104.13,331.24
15,80,2,86,70,1,100.0,40.0,7661.06,20500.02,423948.1,51.33,15.4
16,117,2,89,360,1,121.0,82.0,37781.3,102500.1,423948.1,600.0,180.0
17,173,5,89,342,3,107.0,67.0,59025.23,99083.43,423948.1,1413.6,424.08
18,130,2,100,355,3,117.0,67.0,46373.39,102500.1,423948.1,1088.67,326.6
19,114,4,101,397,2,125.0,78.0,64643.68,116166.78,423948.1,1296.87,389.06
20,46,3,102,41,1,109.0,31.0,7659.21,13666.68,423948.1,76.53,22.96
21,187,9,107,762,3,144.0,121.0,42007.36,218666.88,423948.1,508.0,152.4
22,179,9,109,1132,3,162.0,168.0,264961.26,324583.65,423948.1,2792.27,837.68
23,234,13,113,1934,3,173.0,242.0,470571.18,553500.54,423948.1,3868.0,1160.4
24,121,1,115,431,2,135.0,76.0,101178.14,123000.12,423948.1,2298.67,689.6
25,47,3,116,28,1,126.0,33.0,6972.49,10250.01,423948.1,35.47,10.64
26,125,2,121,309,3,142.0,67.0,55796.62,88833.42,423948.1,1256.6,376.98
27,116,4,129,476,3,158.0,89.0,78742.93,136666.8,423948.1,1396.27,418.88
28,96,1,132,61,1,145.0,39.0,7546.98,20500.02,423948.1,48.8,14.64
29,191,10,132,349,4,152.0,70.0,63440.0,102500.1,423948.1,1442.53,432.76
30,122,5,140,369,3,159.0,70.0,44903.69,105916.77,423948.1,984.0,295.2
31,183,8,141,409,4,167.0,81.0,82163.23,119583.45,423948.1,1608.73,482.62
32,183,8,144,798,2,181.0,124.0,72738.29,228916.89,423948.1,957.6,287.28
33,140,2,149,382,2,166.0,69.0,64108.65,109333.44,423948.1,1553.47,466.04
34,33,3,149,97,1,167.0,47.0,10809.99,30750.03,423948.1,142.27,42.68
35,134,6,155,353,1,186.0,81.0,22477.83,102500.1,423948.1,305.93,91.78
36,118,3,157,434,1,203.0,103.0,32665.99,126416.79,423948.1,376.13,112.84
37,34,1,158,81,1,170.0,39.0,8063.75,23916.69,423948.1,70.2,21.06
38,80,2,158,81,1,170.0,39.0,15481.73,23916.69,423948.1,378.0,113.4
39,139,5,160,349,2,176.0,66.0,68256.3,102500.1,423948.1,1745.0,523.5
