Ship,Berth,MooringTime,HandlingTime
8,0,18,12
70,0,148,45
79,1,167,42
22,2,28,51
51,2,96,13
67,2,142,14
7,3,17,26
30,3,48,23
43,3,78,10
66,3,136,38
12,4,23,9
47,4,85,28
69,4,147,35
2,5,7,9
19,5,27,28
49,5,88,10
53,5,104,14
72,5,151,7
76,5,160,7
15,6,24,31
48,6,86,8
63,6,129,15
75,6,159,31
20,7,27,37
44,7,79,11
50,7,96,17
9,8,19,9
23,8,30,18
38,8,72,17
62,8,127,9
73,8,154,11
24,9,30,21
33,9,55,28
55,9,107,15
21,10,28,32
60,10,120,9
74,10,158,11
25,11,31,40
57,11,116,90
6,12,16,3
10,12,20,5
18,12,26,8
14,13,24,19
31,13,50,17
42,13,74,26
68,13,143,18
1,14,5,5
4,14,11,5
17,14,26,7
28,14,40,9
35,14,61,4
40,14,73,15
61,14,126,11
78,14,167,22
3,15,9,23
39,15,72,5
46,15,84,58
13,16,24,25
37,16,71,18
77,16,164,25
11,17,23,32
56,17,115,29
71,17,150,30
0,18,3,19
16,18,25,8
26,18,34,10
36,18,63,4
41,18,73,9
45,18,82,7
54,18,105,5
59,18,118,1
65,18,130,39
5,19,13,8
27,19,36,5
29,19,42,6
32,19,52,5
34,19,60,8
52,19,100,3
64,19,129,4
